Sound,Probability,Time,Date,Distance
driller,100.0,04:55:10 : PM,2019-02-04,null
driller,100.0,04:55:16 : PM,2019-02-04,null
driller,100.0,04:55:22 : PM,2019-02-04,null
driller,100.0,04:55:27 : PM,2019-02-04,null
driller,100.0,04:55:33 : PM,2019-02-04,null
driller,100.0,04:55:38 : PM,2019-02-04,null
driller,100.0,04:55:44 : PM,2019-02-04,null
driller,100.0,04:55:50 : PM,2019-02-04,null
driller,100.0,04:55:55 : PM,2019-02-04,null
driller,100.0,04:56:01 : PM,2019-02-04,null
driller,100.0,04:56:06 : PM,2019-02-04,null
driller,100.0,04:56:12 : PM,2019-02-04,null
driller,100.0,04:56:17 : PM,2019-02-04,null
driller,100.0,04:56:23 : PM,2019-02-04,null
driller,100.0,04:56:29 : PM,2019-02-04,null
driller,100.0,04:56:35 : PM,2019-02-04,null
driller,100.0,04:56:40 : PM,2019-02-04,null
driller,100.0,04:56:46 : PM,2019-02-04,null
driller,100.0,04:56:51 : PM,2019-02-04,null
driller,100.0,04:56:57 : PM,2019-02-04,null
driller,100.0,04:57:03 : PM,2019-02-04,null
driller,100.0,04:57:08 : PM,2019-02-04,null
driller,100.0,04:57:14 : PM,2019-02-04,null
driller,100.0,04:57:19 : PM,2019-02-04,null
driller,100.0,04:57:25 : PM,2019-02-04,null
driller,100.0,04:57:30 : PM,2019-02-04,null
driller,100.0,04:57:36 : PM,2019-02-04,null
driller,100.0,04:57:41 : PM,2019-02-04,null
driller,100.0,04:57:47 : PM,2019-02-04,null
driller,100.0,04:57:52 : PM,2019-02-04,null
driller,100.0,04:57:58 : PM,2019-02-04,null
driller,100.0,04:58:03 : PM,2019-02-04,null
driller,100.0,04:58:09 : PM,2019-02-04,null
driller,100.0,04:58:15 : PM,2019-02-04,null
driller,100.0,04:58:20 : PM,2019-02-04,null
driller,100.0,04:58:26 : PM,2019-02-04,null
driller,100.0,04:58:31 : PM,2019-02-04,null
driller,100.0,04:58:37 : PM,2019-02-04,null
driller,100.0,04:58:42 : PM,2019-02-04,null
driller,100.0,04:58:48 : PM,2019-02-04,null
driller,100.0,04:58:53 : PM,2019-02-04,null
driller,100.0,04:58:59 : PM,2019-02-04,null
driller,100.0,04:59:04 : PM,2019-02-04,null
driller,100.0,04:59:10 : PM,2019-02-04,null
driller,100.0,04:59:15 : PM,2019-02-04,null
driller,100.0,04:59:21 : PM,2019-02-04,null
driller,100.0,04:59:26 : PM,2019-02-04,null
driller,100.0,04:59:32 : PM,2019-02-04,null
driller,100.0,04:59:37 : PM,2019-02-04,null
driller,100.0,04:59:43 : PM,2019-02-04,null
driller,100.0,04:59:48 : PM,2019-02-04,null
driller,100.0,04:59:54 : PM,2019-02-04,null
driller,100.0,04:59:59 : PM,2019-02-04,null
driller,100.0,05:00:05 : PM,2019-02-04,null
driller,100.0,05:00:10 : PM,2019-02-04,null
driller,100.0,05:00:16 : PM,2019-02-04,null
driller,100.0,05:00:21 : PM,2019-02-04,null
driller,100.0,05:00:26 : PM,2019-02-04,null
driller,100.0,05:00:32 : PM,2019-02-04,null
driller,100.0,05:00:37 : PM,2019-02-04,null
driller,100.0,05:00:43 : PM,2019-02-04,null
driller,100.0,05:00:48 : PM,2019-02-04,null
driller,100.0,05:00:54 : PM,2019-02-04,null
driller,100.0,05:00:59 : PM,2019-02-04,null
driller,100.0,05:01:05 : PM,2019-02-04,null
driller,100.0,05:01:10 : PM,2019-02-04,null
driller,100.0,05:01:16 : PM,2019-02-04,null
driller,100.0,05:01:21 : PM,2019-02-04,null
driller,100.0,05:01:27 : PM,2019-02-04,null
driller,100.0,05:01:32 : PM,2019-02-04,null
driller,100.0,05:01:38 : PM,2019-02-04,null
driller,100.0,05:01:43 : PM,2019-02-04,null
driller,100.0,05:01:49 : PM,2019-02-04,null
driller,100.0,05:01:54 : PM,2019-02-04,null
driller,100.0,05:02:00 : PM,2019-02-04,null
driller,100.0,05:02:05 : PM,2019-02-04,null
driller,100.0,05:02:11 : PM,2019-02-04,null
driller,100.0,05:02:16 : PM,2019-02-04,null
driller,100.0,05:02:22 : PM,2019-02-04,null
driller,100.0,05:02:27 : PM,2019-02-04,null
driller,100.0,05:02:33 : PM,2019-02-04,null
driller,100.0,05:02:38 : PM,2019-02-04,null
driller,100.0,05:02:44 : PM,2019-02-04,null
driller,100.0,05:02:49 : PM,2019-02-04,null
driller,100.0,05:02:55 : PM,2019-02-04,null
driller,100.0,05:03:00 : PM,2019-02-04,null
driller,100.0,05:03:06 : PM,2019-02-04,null
driller,100.0,05:03:11 : PM,2019-02-04,null
driller,100.0,05:03:17 : PM,2019-02-04,null
driller,100.0,05:03:22 : PM,2019-02-04,null
